NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
GIFTED EDUCATION REIMBURSEMENT PROGRAM,ILLINOIS,IL,7,97,0,43000,0,40000,3000,39000,27000,27000
WESTERN AREA PURCHASING COOPERATIVE,ILLINOIS,IL,7,97,0,29000,0,0,29000,22000,17000,0
DRUG FREE SCHOOLS,ILLINOIS,IL,7,97,0,38000,38000,0,0,40000,0,0
MCHENRY COUNTY PROJECT CARE,ILLINOIS,IL,7,97,0,411000,0,409000,2000,81000,10000,0
MCHENRY COUNTY CO-OP FOR EMPL ED,ILLINOIS,IL,7,97,0,87000,0,63000,24000,87000,67000,0
MCLEAN/DEWITT REGIONAL VOCATIONAL SYSTEM,ILLINOIS,IL,7,97,0,641000,0,158000,483000,349000,158000,27000
MACON COUNTY COOPERATIVE FILM LIBRARY,ILLINOIS,IL,7,97,0,11000,0,0,11000,10000,4000,0
HEARTLAND REGION,ILLINOIS,IL,7,97,0,527000,0,236000,291000,612000,210000,0
S MACOUPIN CTY ORGANIZATION FOR SPEC ED,ILLINOIS,IL,7,97,0,932000,108000,0,824000,927000,681000,633000
MACOUPIN COUNTY EDUCATION FOR EMPL REG DEL SYS,ILLINOIS,IL,7,97,0,187000,0,186000,1000,238000,51000,0
MARION/CLINTON/WASHINGTON CTIES REG DEL SYS FOR VOC ED,ILLINOIS,IL,7,97,0,650000,15000,553000,82000,457000,197000,35000
PEORIA EDUCATION REGION - EFE 300,ILLINOIS,IL,7,97,0,418000,0,219000,199000,593000,213000,40000
OKAW REGIONAL VOCATIONAL SYSTEM,ILLINOIS,IL,7,97,0,546000,0,542000,4000,118000,34000,0
TRI-COUNTY REG VOC DEL SYS,ILLINOIS,IL,7,97,0,123000,0,54000,69000,91000,32000,0
QUAD CITY REGIONAL VOC DEL SYS,ILLINOIS,IL,7,97,0,960000,0,199000,761000,514000,120000,48000
