LEAID,NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
4815480,COVINGTON IND SCH DISTRICT 903,TEXAS,TX,3,5,1,3323000,364000,2295000,664000,3451000,1802000,1157000
4815510,CRANDALL IND SCH DIST 901,TEXAS,TX,3,5,1,16353000,697000,8624000,7032000,16016000,9330000,6385000
4815540,CRANE IND SCHOOL DIST 901,TEXAS,TX,3,5,1,15445000,649000,1147000,13649000,14720000,6195000,4400000
4815570,CRANFILLS GAP IND SCH DIST 908,TEXAS,TX,3,5,1,1510000,214000,595000,701000,1306000,773000,563000
4815600,CRAWFORD IND SCH DIST 901,TEXAS,TX,3,5,1,5137000,119000,3067000,1951000,5096000,2965000,2029000
4815690,CROCKETT CO CONS IND SCH DISTRICT 90,TEXAS,TX,3,5,1,21040000,505000,899000,19636000,19540000,5226000,3708000
4815720,CROCKETT IND SCH DISTRICT 901,TEXAS,TX,3,5,1,14145000,2450000,7054000,4641000,14729000,9181000,6377000
4815750,CROSBY IND SCH DISTRICT 906,TEXAS,TX,3,5,1,36345000,2235000,17777000,16333000,55933000,21972000,14335000
4815810,CROSS PLAINS IND SCH DIST 901,TEXAS,TX,3,5,1,3371000,286000,1885000,1200000,3165000,1963000,1521000
4815840,CROSS ROADS IND SCH DIST 904,TEXAS,TX,3,5,1,5304000,300000,1731000,3273000,4338000,2739000,1867000
4815870,CROWELL IND SCH DIST 901,TEXAS,TX,3,5,1,2985000,396000,1439000,1150000,3054000,1662000,1069000
4815910,CROWLEY IND SCH DIST 912,TEXAS,TX,3,5,1,94946000,4376000,28717000,61853000,123123000,58748000,43360000
4815930,CRYSTAL CITY IND SCH DIST 901,TEXAS,TX,3,5,1,21177000,5184000,12712000,3281000,21637000,11239000,7084000
4815960,CUERO IND SCH DISTRICT 901,TEXAS,TX,3,5,1,17637000,2798000,9773000,5066000,20761000,11184000,7474000
4815990,CULBERSON CO-ALLAMOORE ISD 901,TEXAS,TX,3,5,1,6489000,839000,1844000,3806000,6273000,3569000,2505000
4816020,CUMBY IND SCH DIST 905,TEXAS,TX,3,5,1,3297000,163000,2189000,945000,3407000,1972000,1487000
4816080,CUSHING IND SCH DIST 902,TEXAS,TX,3,5,1,4752000,275000,1360000,3117000,3900000,2337000,1688000
4816110,CYPRESS-FAIRBANKS IND SCHOOL DISTRIC,TEXAS,TX,3,5,1,588536000,29916000,156279000,402341000,759338000,386065000,268794000
4816140,D HANIS IND SCH DIST 902,TEXAS,TX,3,5,1,3343000,360000,1977000,1006000,3270000,1813000,1202000
4816180,DAINGERFIELD LONE STAR IND SCH DIST,TEXAS,TX,3,5,1,14116000,1722000,1577000,10817000,13567000,8612000,5903000
4816200,DALHART IND SCH DISTRICT 901,TEXAS,TX,3,5,1,12021000,1778000,4600000,5643000,12154000,8168000,5624000
4816230,DALLAS IND SCH DISTRICT 905,TEXAS,TX,3,5,1,1432324000,185237000,209650000,1037437000,1833704000,895212000,584376000
4816260,DAMON IND SCH DIST 910,TEXAS,TX,1,5,1,1604000,192000,900000,512000,1679000,886000,629000
4816290,DANBURY IND SCH DIST 904,TEXAS,TX,3,5,1,6307000,217000,3951000,2139000,6014000,3859000,2705000
4816320,DARROUZETT IND SCH DIST 905,TEXAS,TX,1,5,1,2124000,64000,86000,1974000,2185000,600000,369000
4816350,DAWSON IND SCH DISTRICT 902,TEXAS,TX,3,5,1,2711000,137000,189000,2385000,2409000,1040000,657000
4816380,DAWSON IND SCH DIST 904,TEXAS,TX,3,5,1,4120000,325000,2839000,956000,3673000,2284000,1570000
4816410,DAYTON IND SCH DIST 902,TEXAS,TX,3,5,1,38421000,3462000,17293000,17666000,36212000,20867000,14588000
4816440,DE LEON IND SCH DIST,TEXAS,TX,3,5,1,5975000,1270000,2500000,2205000,5597000,3580000,2506000
4816500,DECATUR IND SCH DIST 905,TEXAS,TX,3,5,1,25950000,1399000,4718000,19833000,44461000,13837000,9782000
4816530,DEER PARK IND SCH DIST 908,TEXAS,TX,3,5,1,137761000,5239000,10617000,121905000,126098000,60195000,41317000
4816570,DE KALB IND SCH DIST 901,TEXAS,TX,3,5,1,7987000,1062000,4969000,1956000,6964000,4558000,3300000
4816620,DEL VALLE IND SCH DIST 910,TEXAS,TX,3,5,1,62754000,6865000,16334000,39555000,70296000,36196000,22346000
4816650,DELL CITY IND SCH DIST 903,TEXAS,TX,3,5,1,1820000,233000,800000,787000,1600000,853000,616000
4816710,DENISON IND SCH DIST 903,TEXAS,TX,3,5,1,35864000,4227000,15419000,16218000,34724000,21161000,14280000
4816740,DENTON IND SCH DISTRICT 901,TEXAS,TX,3,5,1,157072000,11225000,24336000,121511000,217753000,89515000,61884000
4816770,DENVER CITY IND SCHOOL DIST 901,TEXAS,TX,3,5,1,25884000,990000,1532000,23362000,21556000,6524000,4364000
4816860,DE SOTO IND SCH DIST 906,TEXAS,TX,3,5,1,62276000,3534000,22193000,36549000,91053000,35988000,24382000
4816890,DETROIT IND SCH DIST 905,TEXAS,TX,3,5,1,5563000,1325000,3362000,876000,5012000,3216000,2402000
4816920,DEVERS IND SCH DIST 903,TEXAS,TX,1,5,1,4712000,93000,180000,4439000,4991000,1169000,756000
4816950,DEVINE IND SCH DIST 901,TEXAS,TX,3,5,1,15171000,1937000,9266000,3968000,16402000,9262000,6509000
4816980,DEW IND SCH DIST 906,TEXAS,TX,1,5,1,5419000,62000,190000,5167000,5113000,746000,520000
4817010,DEWEYVILLE IND SCH DIST 903,TEXAS,TX,3,5,1,8074000,645000,1027000,6402000,12054000,4187000,3058000
4817040,DIBOLL IND SCH DIST 905,TEXAS,TX,3,5,1,16513000,2792000,9048000,4673000,16192000,10150000,6654000
4817070,DICKINSON IND SCH DISTRICT 901,TEXAS,TX,3,5,1,57582000,5829000,20799000,30954000,60093000,33050000,22452000
4817100,DILLEY IND SCH DIST 902,TEXAS,TX,3,5,1,9464000,1993000,5696000,1775000,9102000,5252000,3526000
4817130,DIME BOX IND SCH DIST 903,TEXAS,TX,3,5,1,2261000,235000,710000,1316000,2165000,1194000,782000
4817160,DIMMITT IND SCH DIST 901,TEXAS,TX,3,5,1,11704000,2371000,5435000,3898000,10519000,6524000,4623000
4817190,DIVIDE COMM SCH DIST 905,TEXAS,TX,1,5,1,466000,1000,31000,434000,227000,155000,106000
4817280,DODD CITY IND SCH DIST 904,TEXAS,TX,3,5,1,2570000,165000,1851000,554000,2361000,1457000,999000
4817390,DONNA IND SCH DIST 902,TEXAS,TX,3,5,1,117098000,23425000,79918000,13755000,113697000,66876000,40603000
