Year,State Code,State Name,Students,Total Revenue,Federal Revenue,State Revenue,Local Revenue,Total Expenditures,Salaries,Teacher Revenue
1996,MD,Maryland,805544,7062.20641,337.419185,2685.374107,4039.413117,7231.890499,4093.747828,2727.344503
1996,ME,Maine,213601,6952.860708,368.0975276,3030.800418,3553.962762,6859.017514,3841.892126,2754.223997
1996,MI,Michigan,1631131,7975.878087,397.6952188,5186.94084,2391.242028,8012.591263,4402.230722,2753.936992
1996,MN,Minnesota,827418,7344.39304,289.7326382,4137.193051,2917.46735,7733.50471,3719.028351,2711.738202
1996,MO,Missouri,873867,6008.939575,371.4134989,2346.493231,3291.032846,6039.571239,3490.971738,2382.519308
1996,MS,Mississippi,503602,4451.056588,585.8078403,2552.470006,1312.778742,4504.997994,2583.002053,1824.408958
1996,MT,Montana,165390,5711.487998,546.3087248,2734.445855,2430.733418,5588.360844,3315.792974,2360.971038
1996,NC,North Carolina,1181600,5514.895058,375.0177725,3361.389641,1778.487644,5515.496784,3227.511002,2206.067197
1996,ND,North Dakota,119102,5507.64051,582.4419405,2244.345183,2680.853386,5523.07266,2958.371816,2085.892764
1996,NE,Nebraska,289251,6602.687631,348.7835824,1985.6768,4268.227249,6709.767641,3541.038752,2502.452887
1996,NH,New Hampshire,191004,6645.829407,212.6761743,444.163473,5988.989759,6780.517685,3674.902096,2760.172562
1996,NJ,New Jersey,1193928,10375.57876,342.4586742,3843.081827,6190.03826,10442.36587,6080.642216,4064.656328
1996,NM,New Mexico,329661,5310.057908,653.7776686,3887.529917,768.7503223,4982.44257,2655.740291,1805.139219
1996,NV,Nevada,265041,5852.562434,253.8399719,1870.853943,3727.868518,6070.717361,3281.835641,2164.287789
1996,NY,New York,2788343,9333.91516,541.7005727,3688.26719,5103.947398,9673.981644,5658.299929,4227.747089
1996,OH,Ohio,1837628,6624.049046,383.4448539,2629.018496,3611.585696,6494.964704,3768.54347,2466.370234
1996,OK,Oklahoma,616436,4792.97932,424.1153988,2909.865744,1458.998177,4819.428132,2898.73888,1970.097463
