"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"MS","Mississippi",491651,9084.44608065477,1924.07419083862,4289.80923459934,2870.56265521681,9161.49260349313,4948.52649542053,3280.00349841656
"MT","Montana",141693,11256.4982038633,1680.71817238678,5209.53752126075,4366.24251021575,11396.0534394783,6017.13563831664,4167.94054752175
"NC","North Carolina",1483396,11424.4793703097,1321.33968272801,5150.82621228586,4952.31347529587,9768.58033862839,5507.52260353945,3772.96689488174
"ND","North Dakota",94997,12979.5993557691,2503.99486299567,5685.7900775814,4789.81441519206,12526.7218964809,6347.71624367085,4431.37151699527
"NE","Nebraska",294948,12425.1868125907,1542.99062885661,3985.2753705738,6896.92081316029,12125.2966624625,6265.24336493212,4525.94355615227
"NH","New Hampshire",196648,14742.9772995403,941.026605915138,5380.3954273626,8421.55526626256,14490.9788047679,7169.71949879989,5234.66803628819
"NJ","New Jersey",1390190,19174.5394514419,1736.07276703184,6650.54488954747,10787.9217948626,19195.8199958279,10147.4719282976,6651.69653069005
"NM","New Mexico",334022,10979.2498697691,2273.92507080372,6974.80106100796,1730.52373795738,11505.2511511218,5674.07536030561,3745.27725718665
"NV","Nevada",428947,10029.0338899678,836.865626755753,3279.26527053459,5912.90299267742,10022.7650502277,5183.6846976433,3338.54765274032
"NY","New York",2721363,20419.8149971173,1357.31175885025,8491.40596091003,10571.097277357,22115.0041357952,10825.2324294848,8220.16540975974
"OH","Ohio",1758913,13247.0895376861,1378.45362448285,5943.4980581757,5925.13785502751,13080.2620709495,6327.86613095702,4128.66469234124
"OK","Oklahoma",654467,8092.47372289206,1137.68303061881,3902.24106028264,3052.54963199061,8397.06509266319,4569.13335584529,2999.67454432385
"OR","Oregon",560239,10843.2169127819,1399.25817374371,5160.37798154002,4283.58075749814,11219.2314351554,5222.24443496436,3415.49410162449
"PA","Pennsylvania",1762054,14781.6031744771,1273.5205617989,5034.09486882922,8473.98774384894,14849.4660209051,6766.01057629335,4754.34634806879
"RI","Rhode Island",143354,15652.133878371,1762.21103003753,5289.17923462198,8600.74361371151,15870.6349317075,8250.42900791049,5582.45322767415
"SC","South Carolina",721835,10770.4336863688,1479.4225827232,4729.35366115525,4561.65744249032,11447.3349172595,5598.69499262297,3681.54910748301
"SD","South Dakota",123555,10458.6783213953,2027.78519687589,3224.83104690219,5206.06207761726,10366.112257699,5293.56157176966,3642.42644975922
"TN","Tennessee",971524,8646.9464470255,1126.25833226971,3943.67406260679,3577.01405214899,9013.27399014332,5006.17586390043,3455.2702763905
"TX","Texas",4847297,10565.5397224474,1628.06384671705,4073.407509381,4864.06836634933,11219.1817419069,5933.69211748321,4055.46534491285
"UT","Utah",572619,7789.56863114916,1036.06761214699,4103.80898992175,2649.69202908042,8046.63310159111,3706.1309526928,2585.70707573448
"VA","Virginia",1244673,11940.992533782,1230.8783110102,4402.1771180061,6307.93710476567,11947.8449359792,6892.96144449185,4558.9652864648
"VT","Vermont",88827,17196.4042464566,1009.43406847017,14618.3480248123,1568.62215317415,17271.4264806872,8428.83357537686,6075.96789264525
"WA","Washington",1034698,11294.7420406727,1274.422101908,6641.57464303594,3378.7452957288,11268.3266035114,5868.09581153148,3898.88160603384
"WI","Wisconsin",864898,13051.2973784192,1289.56478104933,5724.88663403083,6036.84596333903,12851.662276939,6167.70648099545,4336.68941308686
"WV","West Virginia",281828,11272.3859942944,1823.07648636757,5953.0813120059,3496.22819592092,12364.2540840513,5910.82149396086,3855.19181912372
"WY","Wyoming",87379,19668.3985854725,1418.44150196271,10081.5527758386,8168.40430767118,19411.7236406917,9380.01121550945,6031.16309410728
