LEAID	CENSUSID	FIPST	FIPSCO	CMSA	NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32 - TOTAL SALARIES	Z33
1729640	1.4501E+13	17	19	1400	OGDEN COMM CONS SCH DIST 212	Illinois	IL	1	95	1	637000	77000	377000	183000	626000	337000	224000
1729670	1.4505E+13	17	99	0	OGLESBY ELEM SCH DIST 125	Illinois	IL	1	95	1	2429000	112000	1228000	1089000	2213000	1364000	1002000
1729700	1.45006E+13	17	11	0	OHIO C C SCH DIST 17	Illinois	IL	1	95	1	716000	53000	298000	365000	662000	346000	256000
1729730	1.45006E+13	17	11	0	OHIO COM H S DIST 505	Illinois	IL	2	95	1	483000	1000	149000	333000	427000	229000	132000
1729760	1.45082E+13	17	163	822285	O'FALLON CC SCH DIST 90	Illinois	IL	1	95	1	10200000	524000	5148000	4528000	9315000	5142000	4111000
1729790	1.45082E+13	17	163	822285	OFALLON TWP H S DIST 203	Illinois	IL	2	95	1	8942000	303000	3760000	4879000	12863000	4180000	2998000
1729890	1.45058E+13	17	113	1040	OLYMPIA C U SCH DIST 16	Illinois	IL	3	95	1	12925000	525000	5005000	7395000	11944000	7269000	4895000
1729940	1.45048E+13	17	95	0	R O V A COMM UNIT SCH DIST 208	Illinois	IL	3	95	1	4642000	192000	2127000	2323000	4216000	2686000	2010000
1730000	1.4505E+13	17	99	0	OPHIR C C SCH DIST 235	Illinois	IL	1	95	1	404000	20000	100000	284000	407000	238000	151000
1730030	1.45036E+13	17	71	0	UNION OQUAWKA CMNTY UNIT SCHOOL	Illinois	IL	3	95	1	4167000	238000	2235000	1694000	3841000	2207000	1504000
1730060	1.45089E+13	17	177	0	ORANGEVILLE COM UNIT SCH DIST 20	Illinois	IL	3	95	1	2368000	92000	1239000	1037000	2081000	1232000	834000
1730160	1.45071E+13	17	141	0	OREGON CU SCH DIST 220	Illinois	IL	3	95	1	10784000	187000	5145000	5452000	8559000	5627000	4162000
1730200	1.45037E+13	17	73	1960	ORION COMM UNIT SCH DIST 223	Illinois	IL	3	95	1	6197000	108000	3310000	2779000	5849000	3753000	2634000
1730220	1.45016E+13	17	31	141600	ORLAND PARK SCH DIST 135	Illinois	IL	1	95	1	35616000	417000	5633000	29566000	33804000	17934000	13371000
1730270	1.45048E+13	17	93	0	OSWEGO C U SCH DIST 308	Illinois	IL	3	95	1	24990000	305000	6500000	18185000	24981000	13616000	9888000
1730300	1.4505E+13	17	99	0	OTTAWA ELEM SCH DIST 141	Illinois	IL	1	95	1	11677000	480000	4825000	6372000	11635000	7915000	5553000
1730330	1.4505E+13	17	99	0	OTTAWA TWP HIGH SCH DIST 140	Illinois	IL	2	95	1	9281000	155000	2445000	6681000	8170000	4339000	3097000
1730360	1.4505E+13	17	99	0	OTTER CREEK SCH DIST 56	Illinois	IL	1	95	1	255000	11000	114000	130000	231000	110000	103000
1730420	1.45016E+13	17	31	141600	PALATINE C C SCH DIST 15	Illinois	IL	1	95	1	89919000	1032000	10366000	78521000	99999000	47204000	31650000
1730450	1.45016E+13	17	31	141600	TWP HIGH SCH DIST 211	Illinois	IL	2	95	1	132297000	776000	10814000	120707000	113806000	70192000	44399000
1730480	1.45017E+13	17	33	0	PALESTINE COMM UNIT SCH DIST 3	Illinois	IL	3	95	1	2546000	133000	1721000	692000	2466000	1563000	1025000
1730510	1.45022E+13	17	43	141600	COMMUNITY CONSOLIDATED S D 180	Illinois	IL	1	95	1	4311000	100000	806000	3405000	5260000	2318000	1609000
1730540	1.45059E+13	17	117	0	NORTHWESTERN C U SCH DIST 2	Illinois	IL	3	95	1	2877000	205000	1698000	974000	2639000	1561000	1133000
1730570	1.45016E+13	17	31	141600	PALOS HEIGHTS SCH DIST 128	Illinois	IL	1	95	1	4795000	97000	553000	4145000	4659000	2594000	1852000
1730600	1.45016E+13	17	31	141600	PALOS C C SCH DIST 118	Illinois	IL	1	95	1	14754000	73000	1784000	12897000	15881000	8025000	5411000
1730630	1.45011E+13	17	21	0	PANA COMM UNIT SCH DIST 8	Illinois	IL	3	95	1	7473000	418000	4220000	2835000	6171000	3482000	2302000
1730660	1.45068E+13	17	135	0	PANHANDLE CU SCH DIST 2	Illinois	IL	3	95	1	3229000	175000	1368000	1686000	3285000	1864000	1147000
1730750	1.45023E+13	17	45	0	PARIS UNION SCH DIST 95	Illinois	IL	3	95	1	8407000	474000	5199000	2734000	8575000	5108000	3774000
1730780	1.45023E+13	17	45	0	PARIS CU SCH DIST 4	Illinois	IL	1	95	1	3244000	135000	2039000	1070000	3882000	1532000	1019000
1730810	1.45016E+13	17	31	141600	PARK FOREST SCH DIST 163	Illinois	IL	1	95	1	14839000	670000	6923000	7246000	15803000	7456000	4831000
1730840	1.45016E+13	17	31	141600	PARK RIDGE C C DIST 64	Illinois	IL	1	95	1	28189000	223000	2403000	25563000	29625000	15288000	11003000
