NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32	Z33	V33
BERKS CTC	Pennsylvania	PA	7	14	1	16803000	645000	2190000	13968000	16646000	7493000	4216000	-2
READING MUHLENBERG CTC	Pennsylvania	PA	7	14	1	8332000	466000	1822000	6044000	8497000	4496000	2784000	-2
GREATER ALTOONA CTC	Pennsylvania	PA	7	14	1	8392000	349000	1567000	6476000	8429000	4209000	1769000	-2
BUCKS COUNTY TECHNICAL HIGH SCHOOL	Pennsylvania	PA	7	14	1	8117000	215000	941000	6961000	9689000	4002000	2685000	-3
MIDDLE BUCKS INSTITUTE OF TECHNOLOGY	Pennsylvania	PA	7	14	1	10275000	277000	1020000	8978000	10111000	4538000	2707000	-2
UPPER BUCKS COUNTY TECHNICAL SCHOOL	Pennsylvania	PA	7	14	1	24772000	615000	2760000	21397000	22842000	13072000	9482000	-2
ADMIRAL PEARY AVTS	Pennsylvania	PA	7	14	1	3274000	109000	608000	2557000	3306000	1544000	1041000	-2
CARBON CAREER & TECHNICAL INSTITUTE	Pennsylvania	PA	7	14	1	7543000	209000	845000	6489000	7499000	3387000	2265000	-3
CLARION COUNTY CAREER CENTER	Pennsylvania	PA	7	14	1	3178000	243000	732000	2203000	3192000	1513000	660000	-2
CLEARFIELD COUNTY CTC	Pennsylvania	PA	7	14	1	4710000	112000	752000	3846000	4041000	1868000	818000	-2
CRAWFORD COUNTY CTC	Pennsylvania	PA	7	14	1	5238000	648000	900000	3690000	5488000	2164000	1190000	-2
CUMBERLAND PERRY AVTS	Pennsylvania	PA	7	14	1	6677000	391000	1027000	5259000	6676000	3099000	2025000	-2
DELAWARE COUNTY TECHNICAL HIGH SCHOOL	Pennsylvania	PA	7	14	1	12412000	941000	1688000	9783000	12428000	5520000	4240000	-2
ERIE COUNTY TECHNICAL SCHOOL	Pennsylvania	PA	7	14	1	6298000	364000	1042000	4892000	5860000	2772000	1533000	-2
CONNELLSVILLE AREA CAREER & TECHNICAL CENTER	Pennsylvania	PA	7	14	1	896000	105000	743000	48000	4083000	2312000	1669000	-3
FRANKLIN COUNTY CTC	Pennsylvania	PA	7	14	1	7277000	301000	842000	6134000	7418000	2738000	1638000	-2
GREENE COUNTY CTC	Pennsylvania	PA	7	14	1	3457000	659000	573000	2225000	3490000	1360000	699000	-2
