NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
Union Hill Elementary,California,CA,1,15,1,6129000,337000,4113000,1679000,6653000,4281000,3002000,634
Union Joint Elementary,California,CA,1,15,1,228000,19000,118000,91000,244000,108000,99000,9
Upper Lake Union Elementary,California,CA,6,15,1,5394000,821000,3321000,1252000,5275000,2654000,1817000,-2
Upper Lake Union High,California,CA,2,15,1,4172000,403000,1817000,1952000,3811000,1850000,994000,302
Vacaville Unified,California,CA,3,15,1,113255000,5988000,66874000,40393000,110881000,65329000,42276000,12837
Valle Lindo Elementary,California,CA,1,15,1,12139000,1158000,9273000,1708000,12064000,6710000,4883000,1222
Vallecito Union,California,CA,1,15,1,7868000,444000,1165000,6259000,7372000,3821000,2494000,577
Vallecitos Elementary,California,CA,3,15,1,3208000,260000,1545000,1403000,2471000,1301000,901000,396
Vallejo City Unified,California,CA,3,15,1,163090000,15039000,109505000,38546000,156077000,81382000,52290000,14996
Valley Home Joint Elementary,California,CA,1,15,1,1630000,137000,752000,741000,1608000,755000,449000,144
Ventura Unified,California,CA,3,15,1,190465000,18133000,91388000,80944000,186604000,101813000,63003000,17366
Victor Elementary,California,CA,1,15,1,123559000,11989000,90930000,20640000,119497000,59165000,42455000,12181
Vineland Elementary,California,CA,1,15,1,9063000,1288000,6440000,1335000,7601000,3948000,2690000,823
Visalia Unified,California,CA,3,15,1,286187000,26012000,196789000,63386000,286841000,141512000,93222000,28267
Vista Unified,California,CA,3,15,1,254605000,22433000,135653000,96519000,246882000,140382000,92198000,25377
Vista del Mar Union,California,CA,1,15,1,1959000,36000,537000,1386000,2460000,1344000,879000,118
Walnut Creek Elementary,California,CA,1,15,1,36157000,1209000,7300000,27648000,33013000,19905000,14431000,3608
Walnut Valley Unified,California,CA,3,15,1,148344000,4657000,89900000,53787000,154420000,81785000,54562000,14532
Wasco Union Elementary,California,CA,1,15,1,37674000,4385000,26311000,6978000,35916000,18668000,12186000,3584
Wasco Union High,California,CA,2,15,1,23747000,1621000,10239000,11887000,25085000,10214000,6128000,1747
Washington Colony Elementary,California,CA,1,15,1,4543000,530000,3443000,570000,4456000,2275000,1590000,427
Washington Unified,California,CA,3,15,1,89094000,7211000,54159000,27724000,84992000,43460000,28192000,7978
Washington Union Elementary,California,CA,1,15,1,9084000,178000,2428000,6478000,8935000,4736000,3151000,933
Waugh Elementary,California,CA,1,15,1,9002000,250000,5647000,3105000,9512000,5599000,3856000,942
Waukena Joint Union Elementary,California,CA,1,15,1,2340000,230000,1762000,348000,2093000,1046000,682000,257
Weaver Union,California,CA,1,15,1,27826000,3578000,21585000,2663000,25820000,16180000,11302000,2796
Weed Union Elementary,California,CA,1,15,1,3267000,460000,1030000,1777000,4911000,1475000,1034000,244
West Covina Unified,California,CA,3,15,1,117981000,8295000,81348000,28338000,111873000,63402000,41425000,14213
West Park Elementary,California,CA,3,15,1,6537000,688000,5316000,533000,6301000,3308000,2091000,657
Westside Union Elementary,California,CA,1,15,1,78772000,4488000,54784000,19500000,85767000,45484000,33464000,8941
Western Placer Unified,California,CA,3,15,1,90605000,4454000,32442000,53709000,89488000,45703000,31993000,9116
Westminster,California,CA,1,15,1,106369000,10436000,65485000,30448000,109484000,62336000,42186000,9503
Westmorland Union Elementary,California,CA,1,15,1,4583000,629000,3028000,926000,4575000,2524000,1634000,363
Westside Elementary,California,CA,3,15,1,10395000,540000,8678000,1177000,9761000,4487000,2661000,854
West Side Union Elementary,California,CA,1,15,1,1466000,76000,225000,1165000,1505000,833000,544000,166
Westwood Unified,California,CA,3,15,1,2894000,306000,1862000,726000,2667000,1160000,679000,382
Wheatland,California,CA,1,15,1,18235000,2295000,12385000,3555000,18066000,9979000,6367000,1341
Wheatland Union High,California,CA,2,15,1,7971000,482000,4575000,2914000,8589000,4129000,2761000,735
Whitmore Union Elementary,California,CA,3,15,1,1183000,126000,799000,258000,1115000,471000,308000,84
Whittier City Elementary,California,CA,1,15,1,65177000,6718000,42631000,15828000,68214000,34531000,23743000,6124
Whittier Union High,California,CA,2,15,1,181975000,17827000,123960000,40188000,199303000,87323000,56678000,12983
William S. Hart Union High,California,CA,3,15,1,285681000,9018000,172059000,104604000,285211000,141990000,90488000,26983
Williams Unified,California,CA,3,15,1,13657000,1145000,9260000,3252000,13730000,7261000,4996000,1377
Willits Unified,California,CA,3,15,1,19386000,2554000,9689000,7143000,17615000,9546000,6106000,1942
Laytonville Unified,California,CA,3,15,1,5471000,452000,2052000,2967000,5346000,2812000,1790000,404
Willow Creek Elementary,California,CA,1,15,1,635000,74000,428000,133000,616000,325000,153000,39
Willow Grove Union Elementary,California,CA,1,15,1,326000,14000,45000,267000,352000,133000,117000,18
Willows Unified,California,CA,3,15,1,14264000,1254000,8293000,4717000,14545000,8061000,5310000,1443
Wilmar Union Elementary,California,CA,1,15,1,2478000,102000,653000,1723000,4120000,1295000,910000,234
Wilsona Elementary,California,CA,1,15,1,14394000,1873000,10945000,1576000,13081000,6486000,4492000,1333
Winship-Robbins,California,CA,1,15,1,2107000,162000,1345000,600000,1968000,1065000,647000,197
Winters Joint Unified,California,CA,3,15,1,16560000,1204000,10659000,4697000,15729000,9162000,5814000,1521
Winton,California,CA,1,15,1,20117000,2518000,16719000,880000,19936000,11174000,7693000,1885
